#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         491    -5.03069    -4.77914   0.0121663
         492    -4.92824    -4.77944   0.0121453
         493    -4.95619     -4.7798    0.012126
         494    -4.88648    -4.78002   0.0121033
         495    -4.68366    -4.77982   0.0120804
         496    -4.75478    -4.77977   0.0120562
         497    -4.77287    -4.77976   0.0120319
         498    -4.84694    -4.77989   0.0120085
         499     -4.5875    -4.77951   0.0119907
         500    -4.69501    -4.77934   0.0119679
         501    -4.66736    -4.77912   0.0119461
         502    -4.58024    -4.77872   0.0119288
         503    -4.65156    -4.77847   0.0119078
         504    -4.58035    -4.77807   0.0118907
         505    -4.61799    -4.77776   0.0118713
         506    -4.40037    -4.77701   0.0118713
         507     -4.5559    -4.77657   0.0118559
         508     -4.5093    -4.77605   0.0118442
         509    -4.68056    -4.77586   0.0118224
         510      -4.594     -4.7755   0.0118046
         511    -4.73487    -4.77542   0.0117818
         512    -4.79236    -4.77546   0.0117588
         513    -4.79983    -4.77551    0.011736
         514    -4.78006    -4.77551   0.0117132
         515    -4.92304     -4.7758   0.0116939
         516    -5.00017    -4.77624   0.0116793
         517    -5.08684    -4.77684   0.0116722
         518    -4.98828    -4.77724   0.0116568
         519    -5.01159     -4.7777   0.0116431
         520    -4.97764    -4.77808    0.011627
         521     -4.8385     -4.7782   0.0116053
         522     -4.5776    -4.77781   0.0115894
         523    -4.59424    -4.77746   0.0115726
         524    -4.49559    -4.77692    0.011563
         525    -4.58378    -4.77656   0.0115468
         526    -4.69586     -4.7764   0.0115259
         527    -4.80671    -4.77646   0.0115042
         528    -4.83323    -4.77657   0.0114829
         529    -4.69348    -4.77641   0.0114622
         530    -4.47925    -4.77585   0.0114543
         531    -4.36199    -4.77507   0.0114592
         532    -4.47012     -4.7745    0.011452
         533     -4.6033    -4.77418    0.011435
         534    -4.61434    -4.77388   0.0114175
         535     -4.6287     -4.7736   0.0113994
         536    -4.67911    -4.77343   0.0113795
         537    -4.55532    -4.77302   0.0113656
         538    -4.52461    -4.77256   0.0113538
         539    -4.60891    -4.77226   0.0113368
         540    -4.52456     -4.7718   0.0113251
         541    -4.56359    -4.77141   0.0113107
         542    -4.57155    -4.77104   0.0112958
         543    -4.55413    -4.77065   0.0112821
         544    -4.52578     -4.7702   0.0112703
         545    -4.65451    -4.76998   0.0112517
         546    -4.70565    -4.76987   0.0112317
         547    -4.70352    -4.76974   0.0112118
         548    -4.82692    -4.76985   0.0111918
         549    -4.92218    -4.77013   0.0111749
         550     -4.8553    -4.77028   0.0111556
         551    -4.87812    -4.77048   0.0111371
         552    -4.78773    -4.77051    0.011117
         553    -4.66544    -4.77032   0.0110985
         554    -4.67073    -4.77014   0.0110799
         555    -4.71395    -4.77004   0.0110604
         556    -4.72287    -4.76995   0.0110408
         557    -4.77726    -4.76996    0.011021
         558    -4.81688    -4.77005   0.0110016
         559    -4.78014    -4.77007   0.0109819
         560    -4.88593    -4.77027   0.0109643
         561    -4.89617     -4.7705    0.010947
         562    -4.84786    -4.77064   0.0109284
         563    -4.94084    -4.77094   0.0109132
         564    -4.91126    -4.77119   0.0108967
         565    -4.95627    -4.77151   0.0108823
         566    -4.84083    -4.77164   0.0108638
         567    -4.95271    -4.77196   0.0108493
         568    -4.81685    -4.77204   0.0108305
         569    -4.74198    -4.77198   0.0108116
         570    -4.70424    -4.77186   0.0107933
         571    -4.74118    -4.77181   0.0107745
         572     -4.9611    -4.77214   0.0107607
         573    -4.84367    -4.77227   0.0107427
         574    -5.04252    -4.77274   0.0107343
         575    -5.10701    -4.77332   0.0107313
         576    -4.95339    -4.77363   0.0107173
         577    -5.07597    -4.77415   0.0107115
         578     -5.0296     -4.7746   0.0107021
         579    -4.80044    -4.77464   0.0106837
         580    -4.77962    -4.77465   0.0106653
         581    -4.80885    -4.77471   0.0106471
         582    -4.83902    -4.77482   0.0106293
         583    -4.85124    -4.77495   0.0106119
         584    -4.95525    -4.77526   0.0105982
         585    -5.04485    -4.77572   0.0105901
         586     -4.8579    -4.77586    0.010573
         587    -4.93008    -4.77612   0.0105582
         588    -4.89136    -4.77632   0.0105421
         589      -4.777    -4.77632   0.0105242
         590    -4.90299    -4.77653   0.0105086
         591    -4.87639     -4.7767   0.0104921
         592    -4.74558    -4.77665   0.0104746
         593    -4.73519    -4.77658   0.0104571
         594    -4.70122    -4.77645   0.0104403
         595    -4.67175    -4.77628   0.0104242
         596    -4.70775    -4.77616   0.0104074
         597    -4.80817    -4.77622   0.0103901
         598    -4.86288    -4.77636   0.0103737
         599    -4.91844     -4.7766   0.0103591
         600    -4.93145    -4.77686    0.010345
         601    -4.84056    -4.77696   0.0103284
         602     -4.9464    -4.77724   0.0103151
         603    -4.97639    -4.77757   0.0103032
         604     -5.1003    -4.77811      0.0103
         605    -5.04251    -4.77855   0.0102923
         606    -4.87042     -4.7787   0.0102764
         607    -4.91033    -4.77891   0.0102618
         608    -4.87176    -4.77907    0.010246
         609    -4.84287    -4.77917   0.0102297
         610    -4.81327    -4.77923   0.0102131
         611    -4.71194    -4.77912    0.010197
         612    -4.89369     -4.7793    0.010182
         613    -4.91274    -4.77952   0.0101678
         614    -5.03239    -4.77993   0.0101595
         615    -4.90201    -4.78013    0.010145
         616    -4.97429    -4.78045   0.0101334
         617    -4.99069    -4.78079   0.0101227
         618    -5.15072    -4.78139    0.010124
         619    -5.09579     -4.7819   0.0101204
         620    -4.98601    -4.78222   0.0101094
         621    -4.83233    -4.78231   0.0100934
         622    -4.69164    -4.78216   0.0100783
         623    -4.87514    -4.78231   0.0100632
         624    -4.84759    -4.78241   0.0100476
         625    -4.75023    -4.78236   0.0100317
         626    -4.80106    -4.78239   0.0100157
         627    -4.71107    -4.78228   0.0100004
         628    -4.76145    -4.78224  0.00998449
         629    -4.70061    -4.78212  0.00996946
         630    -4.77083     -4.7821  0.00995365
         631    -4.73178    -4.78202   0.0099382
         632    -4.81561    -4.78207  0.00992261
         633    -5.03458    -4.78247  0.00991495
         634    -4.97828    -4.78278  0.00990412
         635    -4.90522    -4.78297   0.0098904
         636    -4.81955    -4.78303  0.00987502
         637    -4.83018     -4.7831  0.00985979
         638    -4.68832    -4.78295  0.00984546
         639    -4.68452     -4.7828  0.00983126
         640    -4.88703    -4.78296  0.00981724
         641    -4.77765    -4.78295  0.00980193
         642    -4.83024    -4.78303  0.00978694
         643    -4.78369    -4.78303  0.00977172
         644    -4.92852    -4.78326  0.00975916
         645    -4.87968     -4.7834  0.00974517
         646    -4.94383    -4.78365  0.00973325
         647    -4.94073     -4.7839  0.00972123
         648    -4.86959    -4.78403  0.00970713
         649    -4.91624    -4.78423  0.00969431
         650    -4.94663    -4.78448  0.00968262
         651    -4.94162    -4.78472  0.00967075
         652    -4.58484    -4.78442  0.00966078
         653    -4.67776    -4.78425  0.00964736
         654    -4.85264    -4.78436  0.00963318
         655    -4.75168    -4.78431   0.0096186
         656    -4.73375    -4.78423  0.00960425
         657    -4.64262    -4.78402  0.00959205
         658    -4.69877    -4.78389  0.00957834
         659      -4.624    -4.78364  0.00956688
         660    -4.62634     -4.7834  0.00955535
         661    -4.75185    -4.78336  0.00954102
         662    -4.71078    -4.78325  0.00952724
