#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         703     1.17223      1.1806      0.0085
         704     1.17354     1.18059  0.00848793
         705     1.17491     1.18058  0.00847589
         706     1.17633     1.18058  0.00846389
         707     1.17779     1.18057  0.00845192
         708     1.17927     1.18057  0.00843998
         709     1.18076     1.18057  0.00842808
         710     1.18224     1.18057  0.00841621
         711     1.18369     1.18058  0.00840437
         712     1.18511     1.18058  0.00839257
         713     1.18647     1.18059   0.0083808
         714     1.18776      1.1806  0.00836907
         715     1.18897     1.18061  0.00835737
         716     1.19007     1.18063  0.00834571
         717     1.19107     1.18064  0.00833409
         718     1.19193     1.18066  0.00832249
         719     1.19267     1.18067  0.00831094
         720     1.19325     1.18069  0.00829941
         721     1.19368     1.18071  0.00828792
         722     1.19396     1.18073  0.00827646
         723     1.19407     1.18075  0.00826503
         724     1.19401     1.18076  0.00825364
         725     1.19378     1.18078  0.00824227
         726     1.19339      1.1808  0.00823094
         727     1.19283     1.18082  0.00821963
         728     1.19211     1.18083  0.00820836
         729     1.19123     1.18085  0.00819711
         730      1.1902     1.18086  0.00818589
         731     1.18904     1.18087   0.0081747
         732     1.18774     1.18088  0.00816354
