#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         449     1.29133      1.3196  0.00265847
         450      1.2845     1.31952  0.00265371
         451     1.31822     1.31952  0.00264782
         452     1.28458     1.31944  0.00264309
         453     1.26779     1.31933  0.00263972
         454     1.28159     1.31925  0.00263521
         455     1.27975     1.31916  0.00263085
         456     1.27871     1.31907  0.00262658
         457     1.29709     1.31902  0.00262127
         458     1.32765     1.31904  0.00261561
         459     1.32057     1.31904  0.00260992
         460      1.3253     1.31906  0.00260428
         461     1.33917      1.3191  0.00259899
         462     1.33958     1.31915  0.00259375
         463     1.36219     1.31924  0.00258981
         464     1.37957     1.31937  0.00258749
         465     1.32746     1.31939  0.00258199
         466     1.33359     1.31942  0.00257662
         467     1.32779     1.31943  0.00257117
         468      1.3275     1.31945  0.00256573
         469     1.30389     1.31942  0.00256048
         470     1.30169     1.31938  0.00255531
         471     1.30553     1.31935  0.00255005
         472     1.29163     1.31929  0.00254532
         473     1.29394     1.31924  0.00254051
         474       1.285     1.31917  0.00253617
         475     1.30502     1.31914  0.00253101
         476     1.29767     1.31909  0.00252609
         477     1.28486     1.31902  0.00252182
         478     1.29764     1.31898  0.00251694
         479     1.29381     1.31892  0.00251223
         480     1.29369     1.31887  0.00250755
         481     1.31015     1.31885   0.0025024
         482     1.32666     1.31887  0.00249726
         483      1.3045     1.31884  0.00249227
         484     1.28076     1.31876  0.00248836
         485     1.29474     1.31871  0.00248372
         486     1.30469     1.31868  0.00247878
         487     1.31474     1.31867   0.0024737
         488     1.33814     1.31871  0.00246896
         489     1.32748     1.31873  0.00246397
         490     1.32739     1.31875  0.00245901
         491      1.3291     1.31877  0.00245409
         492     1.32617     1.31878  0.00244915
         493     1.33277     1.31881  0.00244434
         494     1.34455     1.31887  0.00243995
         495     1.33897     1.31891  0.00243536
         496     1.35743     1.31898  0.00243169
         497      1.3505     1.31905  0.00242762
         498     1.31833     1.31905  0.00242275
         499     1.32066     1.31905  0.00241789
         500     1.32252     1.31906  0.00241307

