#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         490       -0.52   -0.457306  0.00554879
         491       -0.44   -0.457271   0.0055376
         492       -0.52   -0.457398  0.00552781
         493       -0.44   -0.457363  0.00551671
         494       -0.36   -0.457166  0.00550906
         495       -0.28   -0.456808  0.00550955
         496       -0.44   -0.456774  0.00549854
         497        -0.6   -0.457062  0.00549503
         498        -0.2   -0.456546  0.00550818
         499       -0.44   -0.456513  0.00549724
         500       -0.52    -0.45664  0.00548772
         501        -0.2   -0.456128  0.00550062
         502        -0.6   -0.456414  0.00549712
         503       -0.52   -0.456541  0.00548765
         504       -0.44   -0.456508  0.00547686
         505       -0.36   -0.456317  0.00546934
         506        -0.6   -0.456601   0.0054659
         507       -0.52   -0.456726  0.00545655
         508       -0.68   -0.457165  0.00546348
         509       -0.52   -0.457289  0.00545414
         510       -0.44   -0.457255  0.00544355
         511        -0.6   -0.457534  0.00544006
         512       -0.36   -0.457344  0.00543277
         513       -0.68   -0.457778  0.00543949
         514        -0.6   -0.458054  0.00543594
         515       -0.12   -0.457398  0.00546488
         516       -0.52   -0.457519  0.00545563
         517       -0.68    -0.45795  0.00546203
         518       -0.44   -0.457915  0.00545159
         519       -0.52   -0.458035   0.0054424
         520       -0.44      -0.458  0.00543204
         521       -0.44   -0.457965  0.00542173
         522       -0.28   -0.457625  0.00542205
         523       -0.44   -0.457591  0.00541179
         524       -0.44   -0.457557  0.00540156
         525       -0.36   -0.457371  0.00539447
         526       -0.44   -0.457338  0.00538432
         527       -0.52   -0.457457  0.00537541
         528       -0.68   -0.457879  0.00538173
         529        -0.6   -0.458147  0.00537826
         530        -0.6   -0.458415  0.00537477
         531       -0.52   -0.458531  0.00536589
         532       -0.44   -0.458496  0.00535592
         533       -0.44   -0.458462  0.00534599
         534       -0.28   -0.458127  0.00534641
         535       -0.52   -0.458243  0.00533767
         536       -0.28    -0.45791  0.00533806
         537       -0.44   -0.457877  0.00532822
         538       -0.52   -0.457993  0.00531957
         539       -0.44   -0.457959   0.0053098
         540        -0.2   -0.457481  0.00532142
         541       -0.36   -0.457301  0.00531463
         542       -0.68   -0.457712  0.00532068
         543       -0.36   -0.457532  0.00531393
         544        -0.6   -0.457794  0.00531061
         545       -0.52   -0.457908  0.00530209
         546       -0.28   -0.457582  0.00530238
         547       -0.28   -0.457258  0.00530262
         548       -0.44   -0.457226  0.00529304
         549       -0.52   -0.457341  0.00528463
         550       -0.36   -0.457164  0.00527798
         551       -0.52   -0.457278  0.00526964
         552        -0.6   -0.457536  0.00526643
         553       -0.36    -0.45736  0.00525986
         554       -0.44   -0.457329  0.00525046
         555       -0.28   -0.457009  0.00525071
         556       -0.52   -0.457122  0.00524249
         557       -0.36   -0.456948  0.00523598
         558       -0.52   -0.457061  0.00522781
         559       -0.44    -0.45703  0.00521855
         560       -0.44      -0.457  0.00520932
         561       -0.52   -0.457112  0.00520124
         562        -0.6   -0.457367   0.0051982
         563       -0.52   -0.457478  0.00519015
         564       -0.44   -0.457447  0.00518105
         565       -0.52   -0.457558  0.00517306
